day_fraction,activity,irregularity,tempo,q,p
0.004166666666666667,0.4813009419551939,0.4669734164969447,0.4327517902240336,0.3609199786150715,0.004192303462321804
0.0125,0.5022958305263173,0.6596893999999996,0.5433710347368437,0.39740408315789477,0.0027502105263157916
0.020833333333333332,0.6723991575695163,0.6873004552008247,0.5713275818743566,0.5185141699279087,0.0027073573635427424
0.029166666666666667,0.7929378028455276,0.7266771290650408,0.6676613485772339,0.5996300315040649,0.011859279471544729
0.0375,0.5266704316770312,0.42132135817805444,0.38778369151138714,0.40446474741200866,-0.006085583850931745
0.04583333333333333,0.49447891283973805,0.4477626148078725,0.4410390271790066,0.3801256438612933,0.001718693533270853
0.05416666666666667,0.5971230854526915,0.5316218484231942,0.4944846103763984,0.4637613814852488,-0.008467517802644967
0.0625,0.7838725970619109,0.6583579024134306,0.6466050472193077,0.605390926547743,0.00911999055613852
0.07083333333333333,0.8878031088504572,0.8839120824008134,0.7601504354018336,0.6700015239064093,0.002664316378433377
0.07916666666666666,0.5811818885714283,0.4984937438095241,0.48476253047619033,0.43477459523809586,0.005471822857142862
0.0875,0.489907250519758,0.4606440010395003,0.40784605301455173,0.36905782328482367,-0.0007099604989604905
0.09583333333333334,0.37842890874524754,0.26528267775665376,0.2965625503802282,0.2961818184410647,-0.0011384629277566502
0.10416666666666667,0.184795958984374,0.07956969433593747,0.06447045117187501,0.14533589843749994,0.0015345830078125004
0.1125,0.7117002433808559,0.6650115855397144,0.6141732617107942,0.5741439368635445,-0.0005783329938900268
0.12083333333333333,0.7558797618577096,0.7176501274703555,0.6179988507905111,0.6105628527667984,0.013534686758893293
0.12916666666666668,0.8376050879120863,0.753141558441559,0.686604601398603,0.6443653116883118,-0.0026001168831168804
0.1375,0.5368978478478503,0.6268584194194189,0.5459409959959945,0.42288026626626624,-0.007741467467467445
0.14583333333333334,0.5613906541129854,0.5600986055500495,0.4953526323092174,0.4299270515361748,-0.0035928691774033683
0.15416666666666667,0.5934967189079888,0.7060237563195149,0.6046458725985838,0.47588494438827106,0.01152743882709809
0.1625,0.5206175277207381,0.5651625944558516,0.46164748254620197,0.37896355749486654,-0.009088175564681718
0.17083333333333334,0.33012432361516053,0.39191516326530573,0.29202326724975697,0.25754390281826983,0.001943773566569488
0.17916666666666667,0.24758099999999877,0.22890966730954684,0.17566915139826406,0.19783487270973957,0.0013586894889103154
0.1875,0.5049524574468102,0.6491215861702138,0.5377865553191491,0.41708355744680886,-0.0024776457446808405
0.19583333333333333,0.6034117552986531,0.5280343217726399,0.45152455009633913,0.48166981984585777,0.0011054653179190758
0.20416666666666666,0.17121692985971862,0.07281911122244487,0.07530020541082164,0.13571171342685365,0.0016218687374749488
0.2125,0.16529323913043376,0.11772284265010356,0.1056864813664596,0.13581994306418219,-0.0001958944099378883
0.22083333333333333,0.22054167046632006,0.3014952590673576,0.2781970746113985,0.1881174839378239,0.004919185492227973
0.22916666666666666,0.5605355884146361,0.5261868709349597,0.5288107926829259,0.4582724146341462,0.011127715447154456
0.2375,0.12055450755286916,0.006615409869083586,0.00784375125881168,0.09553554884189322,-0.0035794793554884156
0.24583333333333332,0.11920299999999903,0.0,0.0,0.09705792255566305,3.345401742497579e-05
0.25416666666666665,0.5397881778221802,0.6144591838161836,0.49521884015983936,0.46634486313686274,0.009119939060939063
0.2625,0.45399421466525125,0.476694732199788,0.44298553878852376,0.37531015515409144,0.006483547290116888
0.2708333333333333,0.44214864985163443,0.5490949861523241,0.4398913630069237,0.37324894263105834,0.0019374470820969333
0.2791666666666667,0.5108121888454016,0.6371097935420753,0.4975296800391384,0.41648434931506784,0.0025536320939334696
0.2875,0.46832197242084117,0.4517392104187947,0.3987994136874359,0.37739220735444357,-0.00044283656792645716
0.29583333333333334,0.2806704817073163,0.3269495680894311,0.2715815132113823,0.22700318292682947,0.0020092723577235776
